"Date","Geo Port","Inflation"
"1969-12-31",10000,10000
"1970-01-02",10152.72,10001.71
"1970-01-05",10223.8,10004.28
"1970-01-06",10072.78,10005.13
"1970-01-07",10101.53,10005.99
"1970-01-08",10147.83,10006.85
"1970-01-09",10124.18,10007.7
"1970-01-12",10038.78,10010.27
"1970-01-13",10020.16,10011.12
"1970-01-14",9996.42,10011.98
"1970-01-15",10008.9,10012.83
"1970-01-16",9988.94,10013.69
"1970-01-19",9887.27,10016.26
"1970-01-20",9906.59,10017.11
"1970-01-21",9878.66,10017.97
"1970-01-22",9949.23,10018.82
"1970-01-23",9833.89,10019.68
"1970-01-26",9713.27,10022.25
"1970-01-27",9664.15,10023.1
"1970-01-28",9552.51,10023.96
"1970-01-29",9412.12,10024.81
"1970-01-30",9332.61,10025.67
"1970-02-02",9385.18,10030.31
"1970-02-03",9450.32,10032.21
"1970-02-04",9459.85,10034.1
"1970-02-05",9431.71,10036
"1970-02-06",9515.21,10037.89
"1970-02-09",9662.27,10043.58
"1970-02-10",9569.73,10045.47
"1970-02-11",9617.4,10047.37
"1970-02-12",9557.77,10049.26
"1970-02-13",9652.66,10051.16
"1970-02-16",9630.96,10056.84
"1970-02-17",9555.43,10058.73
"1970-02-18",9672.38,10060.63
"1970-02-19",9717.19,10062.52
"1970-02-20",9662.66,10064.42
"1970-02-24",9675.92,10072
"1970-02-25",9789.6,10073.89
"1970-02-26",9817.46,10075.79
"1970-02-27",9864.72,10077.68
"1970-03-02",9833.39,10083
"1970-03-03",9862.77,10084.71
"1970-03-04",9886.06,10086.42
"1970-03-05",9845.75,10088.13
"1970-03-06",9809.14,10089.84
"1970-03-09",9664.2,10094.98
"1970-03-10",9621.53,10096.69
"1970-03-11",9591.11,10098.4
"1970-03-12",9508.66,10100.11
"1970-03-13",9440.91,10101.82
"1970-03-16",9312.72,10106.96
"1970-03-17",9283.18,10108.67
"1970-03-18",9365.46,10110.38
"1970-03-19",9422.45,10112.09
"1970-03-20",9357.66,10113.8
"1970-03-23",9367.5,10118.94
"1970-03-24",9503.38,10120.65
